FirstName,Phone,Notes
John,9876543210,Interested in product demo
Alice,9123456789,Requested callback tomorrow
Michael,9988776655,Follow up next week
Sarah,9090909090,Not reachable
David,9012345678,Asked for pricing details
Emma,9345678901,Interested in enterprise plan
Daniel,9567890123,Call after 6 PM
Sophia,9789012345,Shared referral
Chris,9876501234,Needs more information
Olivia,9654321098,Demo scheduled
Robert,9123987654,Left voicemail
Linda,9234567890,Budget discussion pending
James,9345609871,Interested but busy
Emily,9456789012,Call back next Monday
William,9567012345,Requested email follow-up
